Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,CustomerID,Age,Gender,Income,CampaignChannel,CampaignType,AdSpend,ClickThroughRate,ConversionRate,WebsiteVisits,PagesPerVisit,TimeOnSite,SocialShares,EmailOpens,EmailClicks,PreviousPurchases,LoyaltyPoints,AdvertisingPlatform,AdvertisingTool,Conversion
0,0,0,0,0,CUST0001,54-57,0,131422-140705,whatsapp,Awareness,6645.178367369583,0.035824762129295855,0.08739370683380646,0,2.40267485007239,7.30257016995471,19,6,9,0-4,688,[REDACTED],[REDACTED],1
1,1,1,1,1,CUST0002,66-69,1,38582-47865,protonmail,Retention,3905.646757459752,0.1496964699224583,0.1807740662155343,42,3.0015582028441417,5.514987812946318,5,2,7,0-4,3459,[REDACTED],[REDACTED],1
2,2,2,2,2,CUST0003,46-49,0,85002-94285,facebook ads,Awareness,1430.5550981369397,0.28246492475061313,0.07423579384616956,2,8.101000679228038,13.659802377088488,0,11,2,5-9,2337,[REDACTED],[REDACTED],1
3,3,3,3,3,CUST0004,30-33,0,38582-47865,twitter ads,Conversion,477.2381514906563,0.14154126385960716,0.08483512773992004,47,4.337362979094575,14.684936185015705,89,2,2,0-4,2463,[REDACTED],[REDACTED],1
4,4,4,4,4,CUST0005,58-61,0,75718-85001,twitter ads,Conversion,1757.3942521625686,0.25276409126739624,0.10762979446531787,0,1.9791420951045662,13.967578704923982,6,6,6,5-9,4345,[REDACTED],[REDACTED],1
5,5,5,5,5,CUST0006,22-25,0,38582-47865,tiktok,Awareness,9595.097714916285,0.15282315344082884,0.16062813561083447,6,2.3343343842371467,7.531576206224632,95,5,8,0-4,3316,[REDACTED],[REDACTED],1
6,6,6,6,6,CUST0007,38-41,0,20014-29297,online directory,Awareness,7201.197199315194,0.041754935921004974,0.05801799685302873,42,1.9168684055980922,10.386208648953096,54,14,3,5-9,930,[REDACTED],[REDACTED],1
7,7,7,7,7,CUST0008,54-57,0,47866-57149,facebook,Conversion,5074.405869287163,0.045579991974194864,0.18516418686064207,48,2.78694144324113,3.1667584920979386,96,9,3,0-4,2983,[REDACTED],[REDACTED],1
8,8,8,8,8,CUST0009,34-37,0,140706-149989,outlook,Retention,9476.62725819604,0.01986502939676623,0.11435112563606906,13,5.475114747605413,14.470104698664338,73,4,8,5-9,460,[REDACTED],[REDACTED],1
9,9,9,9,9,CUST0010,38-41,1,122138-131421,twitter,Awareness,6204.716953477629,0.0702033779291443,0.16930265920381712,22,1.120060949755056,4.850191800289823,14,8,4,5-9,3789,[REDACTED],[REDACTED],1
10,10,10,10,10,CUST0011,26-29,1,85002-94285,facebook ads,Retention,7447.770223442525,0.27465140261424964,0.10981516540633346,47,2.1910899813149447,3.2938917506770173,94,16,5,5-9,1987,[REDACTED],[REDACTED],1
